Entidad,Codificacion,TipoValor,EntSec,Monto,FechaEmision,FechaVenc,Nodo,Estado,Transmision,TipoOperacion
ADROELECTRIC S.A.S,988,COMP. LIQ. FACTURAS DE ,,"$ 383.218,48",31/01/2025,,FCIA BIOSALUD,INGRESADO,,SERV-04-PAGAR COMP. LIQ. 
AFIP,VEP 142815919,GASTOS VARIOS,,"$ 36.213,99",18/03/2025,17/04/2025,FCIA BIOSALUD,PAGADO,,GV-03-PAGAR COMP. LIQ. 
,,,,,,,,,,GV-01-INGRESAR GASTOS 
AKRO MEDICA S.R.L. SERVICIOS PARA LA ,00003-00008482,FACTURA DE SERVICIOS,,"$ 39.325,00",13/03/2025,12/04/2025,BIOSALUD CHACRAS ,PAGADO,,SERV-01-INGRESAR FACTURA 
,,,,,,,,,,SERV-04-PAGAR COMP. LIQ. 
,1166,COMP. LIQ. FACTURAS DE ,,"$ 39.325,00",24/04/2025,,BIOSALUD CHACRAS ,INGRESADO,,SERV-04-PAGAR COMP. LIQ. 
,00003-00008738,FACTURA DE SERVICIOS,,"$ 191.180,00",30/05/2025,29/06/2025,FCIA BIOSALUD,PAGADO,,SERV-04-PAGAR COMP. LIQ. 
,,,,,,,,,,SERV-01-INGRESAR FACTURA 
,1242,COMP. LIQ. FACTURAS DE ,,"$ 191.180,00",30/05/2025,,FCIA BIOSALUD,INGRESADO,,SERV-04-PAGAR COMP. LIQ. 
,00003-00008795,FACTURA DE SERVICIOS,,"$ 47.795,00",17/06/2025,17/07/2025,BIOSALUD CHACRAS ,PAGADO,,SERV-04-PAGAR COMP. LIQ. 
,,,,,,,,,,SERV-01-INGRESAR FACTURA 
,00003-00008799,FACTURA DE SERVICIOS,,"$ 47.795,00",18/06/2025,18/07/2025,BIOSALUD CHACRAS ,PAGADO,,SERV-04-PAGAR COMP. LIQ. 
,,,,,,,,,,SERV-01-INGRESAR FACTURA 
,00003-00008804,FACTURA DE SERVICIOS,,"$ 47.795,00",19/06/2025,19/07/2025,BIOSALUD CHACRAS ,PAGADO,,SERV-04-PAGAR COMP. LIQ. 
,,,,,,,,,,SERV-01-INGRESAR FACTURA 
,00003-00008818,FACTURA DE SERVICIOS,,"$ 47.795,00",24/06/2025,24/07/2025,BIOSALUD CHACRAS ,PAGADO,,SERV-04-PAGAR COMP. LIQ. 
,,,,,,,,,,SERV-01-INGRESAR FACTURA 
,1410,COMP. LIQ. FACTURAS DE ,,"$ 191.180,00",26/06/2025,,BIOSALUD CHACRAS ,INGRESADO,,SERV-04-PAGAR COMP. LIQ. 
,288,GASTOS VARIOS,,"$ 191.180,00",26/06/2025,26/07/2025,BIOSALUD CHACRAS ,IGNORADO,,SERV-04-PAGAR COMP. LIQ. 
,,,,,,,,,,GV-01-INGRESAR GASTOS 
,,,,,,,,,,FTW-02-DESHACER 
,,,,,,,,,,FTW-02-DESHACER 
,,,,,,,,,,FTW-01-EDITAR VALORES
,1297,COMP. LIQ. FACTURAS DE ,,"$ 0,00",30/06/2025,,BIOSALUD CHACRAS ,IGNORADO,,SERV-04-PAGAR COMP. LIQ. 
,,,,,,,,,,FTW-02-DESHACER 
ALBERTO OSCAR BADUI,980,COMP. LIQ. FACTURAS DE ,,"$ 2.700.947,87",31/01/2025,,FCIA BIOSALUD,INGRESADO,,SERV-04-PAGAR COMP. LIQ. 
,981,COMP. LIQ. FACTURAS DE ,,"$ 3.328.397,96",31/01/2025,,FCIA BIOSALUD,INGRESADO,,SERV-04-PAGAR COMP. LIQ. 
,0005-00008574,FACTURA DE SERVICIOS,,"$ 47.600,00",08/05/2025,07/06/2025,BIOSALUD CHACRAS ,PAGADO,,SERV-04-PAGAR COMP. LIQ. 
,,,,,,,,,,SERV-01-INGRESAR FACTURA 
,1316,COMP. LIQ. FACTURAS DE ,,"$ 47.600,00",30/06/2025,,BIOSALUD CHACRAS ,INGRESADO,,SERV-04-PAGAR COMP. LIQ. 
ALFONSO MARIA CECILIA,00002-00006471,FACTURA DE SERVICIOS,,"$ 7.000,00",13/03/2025,12/04/2025,BIOSALUD CHACRAS ,PAGADO,,SERV-04-PAGAR COMP. LIQ. 
,,,,,,,,,,SERV-01-INGRESAR FACTURA 
,1323,COMP. LIQ. FACTURAS DE ,,"$ 7.000,00",13/03/2025,,BIOSALUD CHACRAS ,INGRESADO,,SERV-04-PAGAR COMP. LIQ. 
