Entidad,Codificacion,TipoValor,EntSec,Monto,FechaEmision,FechaVenc,Nodo,Estado,Transmision,TipoOperacion
AD+DISTRIBUIDORA INTEGRALS.A.S,00002-00000079,FACTURA DE COMPRA,,"$ 1.070.747,55",03/04/2025,03/04/2025,BIOSALUD CHACRAS ,PAGADO,,PVD-03-INGRESAR FACTURA 
,,,,,,,,,,PVD-19-PAGAR COMP. LIQ. 
,00002-00000078,FACTURA DE COMPRA POS,,"$ 1.024.883,57",03/04/2025,03/05/2025,FCIA BIOSALUD,PAGADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL 
,,,,,,,,,,PVD-19-PAGAR COMP. LIQ. 
,00002-00000080,FACTURA DE COMPRA POS,,"$ 45.863,98",03/04/2025,03/05/2025,FCIA BIOSALUD,PAGADO,MOSTRADOR,SUC-22-INGRESO Y CONTROL 
,,,,,,,,,,PVD-19-PAGAR COMP. LIQ. 
ALGAZE JOSE ALBERTO - BREA SEBASTIAN,0007-00000185,FACTURA DE COMPRA POS,,"$ 93.500,00",20/12/2025,20/01/2026,BIOSALUD CHACRAS ,PAGADO,MOSTRADOR,PVD-19-PAGAR COMP. LIQ. 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0007-00000181,FACTURA DE COMPRA POS,,"$ 93.500,00",20/12/2025,20/01/2026,BIOSALUD CHACRAS ,PAGADO,MOSTRADOR,PVD-19-PAGAR COMP. LIQ. 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0007-00000184,FACTURA DE COMPRA POS,,"$ 93.500,00",20/12/2025,20/01/2026,BIOSALUD CHACRAS ,PAGADO,MOSTRADOR,PVD-19-PAGAR COMP. LIQ. 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0007-00000182,FACTURA DE COMPRA POS,,"$ 93.500,00",20/12/2025,20/01/2026,BIOSALUD CHACRAS ,PAGADO,MOSTRADOR,PVD-19-PAGAR COMP. LIQ. 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
BASTIAS,00002-00016988,FACTURA DE COMPRA,,"$ 574.000,01",10/11/2025,10/12/2025,FCIA BIOSALUD,PAGADO,,PVD-19-PAGAR COMP. LIQ. 
,,,,,,,,,,PVD-03-INGRESAR FACTURA 
BIOLATINA SRL,0003-00015454,FACTURA DE COMPRA POS,,"$ 159.000,00",02/01/2025,01/02/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015458,FACTURA DE COMPRA POS,,"$ 134.200,00",03/01/2025,02/02/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015457,FACTURA DE COMPRA POS,,"$ 18.750,00",03/01/2025,02/02/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015461,FACTURA DE COMPRA POS,,"$ 58.300,00",03/01/2025,02/02/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015459,FACTURA DE COMPRA POS,,"$ 8.350,00",03/01/2025,02/02/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015460,FACTURA DE COMPRA POS,,"$ 22.525,00",03/01/2025,02/02/2025,BIOSALUD CHACRAS ,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
,0003-00015473,FACTURA DE COMPRA,,"$ 25.000,00",07/01/2025,06/02/2025,BIOSALUD CHACRAS ,AGRUPADO,,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,PVD-03-INGRESAR FACTURA 
,0003-00015490,FACTURA DE COMPRA POS,,"$ 101.865,60",08/01/2025,08/02/2025,FCIA BIOSALUD,AGRUPADO,MOSTRADOR,PVD-17-ARMAR RESUMEN DE 
,,,,,,,,,,SUC-22-INGRESO Y CONTROL 
